,Unnamed: 0,Unnamed: 0.1,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7289,34029,49582,12339722,JE198693,04/13/2021 09:00:00 AM,107XX S SACRAMENTO AVE,0460,BATTERY,SIMPLE,STREET,False,False,2211,22,19.0,74,08B,1158191.0,1833293.0,2021,04/20/2021 04:49:35 PM,41.698293456,-87.69640514700001,"(41.698293456, -87.696405147)"
7308,13584,19743,12290379,JE138275,02/10/2021 07:35:00 AM,018XX N HUMBOLDT BLVD,0820,THEFT,$500 AND UNDER,STREET,False,False,1421,14,1.0,22,06,1156087.0,1911988.0,2021,02/19/2021 03:45:56 PM,41.914285586,-87.70199239,"(41.914285586, -87.70199239)"
7326,20928,30351,12308716,JE161003,03/06/2021 02:50:00 PM,049XX S CICERO AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,GAS STATION,False,False,815,8,14.0,56,04A,1145196.0,1871375.0,2021,03/13/2021 03:51:08 PM,41.803051264,-87.743030382,"(41.803051264, -87.743030382)"
7346,13402,19464,12290601,JE138403,02/10/2021 11:00:00 AM,021XX W 67TH PL,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,726,7,16.0,67,06,1163329.0,1859874.0,2021,02/19/2021 03:45:56 PM,41.77113004,-87.676849886,"(41.77113004, -87.676849886)"
7353,3152,4757,12267944,JE110824,01/11/2021 03:00:00 PM,022XX W 81ST ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,835,8,18.0,70,11,1162820.0,1850906.0,2021,01/18/2021 04:01:40 PM,41.746531198,-87.678965762,"(41.746531198, -87.678965762)"
7367,8109,12034,12278410,JE123135,01/25/2021 12:45:00 PM,017XX W 89TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2221,22,21.0,71,14,1166382.0,1845666.0,2021,02/01/2021 03:48:35 PM,41.732076793,-87.666062576,"(41.732076793, -87.666062576)"
7388,25094,36478,12322386,JE177697,03/11/2021 03:00:00 PM,081XX S COMMERCIAL AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,422,4,7.0,46,06,1197605.0,1851605.0,2021,03/25/2021 04:52:53 PM,41.747652702,-87.55148378700001,"(41.747652702, -87.551483787)"
7417,21093,30598,12309197,JE161706,03/07/2021 08:00:00 AM,066XX S ARTESIAN AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,832,8,16.0,66,08A,1161186.0,1860488.0,2021,03/14/2021 04:50:05 PM,41.772859561,-87.68468842,"(41.772859561, -87.68468842)"
7422,31774,46246,12334429,JE192435,04/07/2021 01:42:00 PM,109XX S EMERALD AVE,0560,ASSAULT,SIMPLE,DRIVEWAY - RESIDENTIAL,True,True,2233,22,34.0,49,08A,1173261.0,1832290.0,2021,04/14/2021 05:57:55 PM,41.695222003000005,-87.64125583,"(41.695222003, -87.64125583)"
7461,8428,12480,12281300,JE126739,01/17/2021 08:00:00 AM,007XX E 78TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,624,6,6.0,69,11,1182687.0,1853457.0,2021,02/02/2021 03:46:23 PM,41.753093759,-87.606089745,"(41.753093759, -87.606089745)"
7472,19436,28161,12307650,JE159813,02/14/2021 08:00:00 AM,068XX S PRAIRIE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,322,3,20.0,69,11,1179219.0,1859796.0,2021,03/09/2021 03:52:09 PM,41.770568403,-87.618605503,"(41.770568403, -87.618605503)"
7474,5398,8071,12271652,JE115317,01/17/2021 12:00:00 AM,027XX W 61ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,825,8,16.0,66,14,1159185.0,1864089.0,2021,01/24/2021 03:47:22 PM,41.782782399,-87.691925155,"(41.782782399, -87.691925155)"
7477,23813,34617,12315424,JE169161,03/15/2021 12:09:00 AM,005XX N CENTRAL AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,1523,15,37.0,25,04A,1138937.0,1903099.0,2021,03/22/2021 04:53:29 PM,41.890222244,-87.76521578100001,"(41.890222244, -87.765215781)"
7486,14410,20925,12293649,JE142517,02/15/2021 04:25:00 PM,053XX W HIRSCH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2532,25,37.0,25,14,1140674.0,1908802.0,2021,02/22/2021 03:49:17 PM,41.905840218,-87.75869634200001,"(41.905840218, -87.758696342)"
7493,6694,9963,12274557,JE118684,01/21/2021 03:32:00 AM,001XX W 35TH ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,915,9,11.0,34,08B,1175739.0,1881773.0,2021,01/28/2021 03:49:05 PM,41.830954079,-87.63070322600001,"(41.830954079, -87.630703226)"
7494,32121,46763,12334857,JE193025,04/08/2021 03:35:00 AM,045XX W DIVISION ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2533,25,37.0,23,04A,1146065.0,1907609.0,2021,04/15/2021 05:38:17 PM,41.902465692,-87.738923419,"(41.902465692, -87.738923419)"
7495,4679,7003,12272381,JE116180,01/15/2021 11:29:00 AM,025XX N CENTRAL AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,2515,25,30.0,19,06,1138618.0,1916230.0,2021,01/22/2021 03:48:10 PM,41.926261042,-87.76606839799999,"(41.926261042, -87.766068398)"
7497,3010,4553,12266747,JE109338,01/10/2021 06:00:00 PM,027XX W ESTES AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2411,24,50.0,2,06,1156761.0,1946980.0,2021,01/17/2021 03:49:56 PM,42.010292019,-87.698563868,"(42.010292019, -87.698563868)"
7506,6364,9492,12274576,JE118125,01/20/2021 11:00:00 AM,022XX E 99TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,False,False,431,4,10.0,51,11,1192953.0,1839768.0,2021,01/27/2021 03:54:59 PM,41.715285614,-87.568914995,"(41.715285614, -87.568914995)"
7510,23410,34034,12314174,JE167574,03/13/2021 05:35:00 AM,050XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,1532,15,28.0,25,14,1142718.0,1900032.0,2021,03/20/2021 04:52:03 PM,41.88173649,-87.751406401,"(41.88173649, -87.751406401)"
7527,30149,43842,12331058,JE187954,04/02/2021 03:30:00 PM,056XX W MADISON ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1513,15,29.0,25,08B,1138946.0,1899461.0,2021,04/09/2021 05:06:35 PM,41.880238942,-87.76527117,"(41.880238942, -87.76527117)"
7530,27025,39265,12325005,JE180423,03/24/2021 10:55:00 AM,006XX N KINGSBURY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1831,18,42.0,8,14,1172616.0,1904876.0,2021,03/31/2021 04:59:47 PM,41.89441994,-87.641478526,"(41.89441994, -87.641478526)"
7532,12843,18680,12290980,JE138981,02/11/2021 03:50:00 PM,063XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CURRENCY EXCHANGE,False,False,723,7,16.0,68,14,1170730.0,1862880.0,2021,02/19/2021 03:45:56 PM,41.779220641,-87.649632877,"(41.779220641, -87.649632877)"
7544,17489,25338,12306762,JE158773,02/25/2021 02:00:00 PM,005XX W MADISON ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,121,1,42.0,28,11,1172573.0,1900294.0,2021,03/06/2021 03:48:05 PM,41.881847601,-87.641772074,"(41.881847601, -87.641772074)"
7558,27407,39845,12324159,JE179666,03/25/2021 05:54:00 PM,011XX N LAWNDALE AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,1112,11,27.0,23,08B,1151501.0,1907382.0,2021,04/01/2021 05:04:48 PM,41.901737687,-87.718961922,"(41.901737687, -87.718961922)"
7567,1528,2256,12264636,JE107289,01/08/2021 06:26:00 PM,024XX N MILWAUKEE AVE,0860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,1414,14,32.0,22,06,1155763.0,1916404.0,2021,01/16/2021 03:49:23 PM,41.926409982,-87.703063481,"(41.926409982, -87.703063481)"
7591,33445,48724,12339906,JE197343,04/12/2021 03:20:00 PM,051XX N LINCOLN AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SMALL RETAIL STORE,False,False,2031,20,40.0,4,04A,1158555.0,1934254.0,2021,04/19/2021 05:20:48 PM,41.975334679,-87.692313579,"(41.975334679, -87.692313579)"
7608,1519,2246,12263101,JE105439,01/06/2021 07:55:00 PM,064XX S LOOMIS BLVD,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,725,7,16.0,67,08A,1168103.0,1862032.0,2021,01/16/2021 03:49:23 PM,41.776950535,-87.65928809299999,"(41.776950535, -87.659288093)"
7631,24051,34971,12315566,JE169261,03/15/2021 05:58:00 AM,009XX E 82ND ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,631,6,8.0,44,04B,1183791.0,1850819.0,2021,03/22/2021 04:53:29 PM,41.745829132,-87.602126212,"(41.745829132, -87.602126212)"
7664,25887,37611,12320426,JE175328,03/21/2021 02:15:00 PM,086XX S CHAMPLAIN AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,False,632,6,6.0,44,04A,1182065.0,1847749.0,2021,03/28/2021 04:57:44 PM,41.737444782,-87.608545299,"(41.737444782, -87.608545299)"
7669,11964,17394,12286770,JE133442,02/05/2021 03:30:00 PM,022XX W 37TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,912,9,12.0,59,08B,1162053.0,1880107.0,2021,02/14/2021 03:45:19 PM,41.826678586,-87.68096438799999,"(41.826678586, -87.680964388)"
7689,19305,27981,12306362,JE157991,03/02/2021 11:00:00 PM,068XX N LAKEWOOD AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,2431,24,49.0,1,06,,,2021,03/09/2021 03:54:03 PM,,,
7704,27617,40155,12325084,JE180809,03/26/2021 08:15:00 PM,055XX W CORCORAN PL,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1523,15,37.0,25,04A,1139191.0,1902011.0,2021,04/02/2021 05:04:22 PM,41.887232016,-87.76430945799999,"(41.887232016, -87.764309458)"
7725,30963,45050,12332694,JE190192,04/05/2021 01:45:00 PM,094XX S RHODES AVE,0560,ASSAULT,SIMPLE,STREET,False,False,633,6,9.0,49,08A,1181561.0,1842599.0,2021,04/12/2021 05:33:53 PM,41.723324203,-87.61055023799999,"(41.723324203, -87.610550238)"
7728,17598,25494,12301276,JE152050,02/25/2021 12:30:00 PM,006XX E 37TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,212,2,4.0,36,08B,1181491.0,1880531.0,2021,03/04/2021 03:52:04 PM,41.827414904,-87.609637415,"(41.827414904, -87.609637415)"
7737,3766,5687,12270489,JE113801,01/13/2021 04:25:00 PM,013XX W BELMONT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,False,False,1924,19,44.0,6,11,1167084.0,1921369.0,2021,01/20/2021 03:53:42 PM,41.939798317,-87.66132115,"(41.939798317, -87.66132115)"
7742,20336,29477,12307202,JE159344,03/04/2021 06:20:00 PM,009XX N HOYNE AVE,0460,BATTERY,SIMPLE,STREET,False,False,1212,12,2.0,24,08B,1162229.0,1906411.0,2021,03/11/2021 03:47:23 PM,41.898855601,-87.67958380700001,"(41.898855601, -87.679583807)"
7744,988,1452,12260950,JE102819,01/03/2021 11:00:00 AM,097XX S AVENUE L,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,432,4,10.0,52,08B,1201792.0,1841217.0,2021,01/16/2021 03:49:23 PM,41.719041877,-87.53649414899999,"(41.719041877, -87.536494149)"
7745,33581,48914,12338933,JE197731,04/12/2021 10:08:00 PM,029XX S FEDERAL ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,133,1,3.0,35,08A,1176116.0,1885609.0,2021,04/19/2021 05:20:48 PM,41.841471897,-87.62920462700001,"(41.841471897, -87.629204627)"
7748,32786,47785,12336528,JE194947,04/10/2021 12:00:00 AM,027XX W MARQUETTE RD,0820,THEFT,$500 AND UNDER,SIDEWALK,False,True,831,8,17.0,66,06,1159105.0,1860099.0,2021,04/17/2021 05:31:27 PM,41.771834905,-87.69232750200001,"(41.771834905, -87.692327502)"
7753,24941,36253,12321421,JE176510,03/18/2021 05:00:00 PM,031XX S ARCHER AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,912,9,12.0,59,06,1165749.0,1883799.0,2021,03/25/2021 04:55:39 PM,41.836732001,-87.66729941700001,"(41.836732001, -87.667299417)"
7763,25892,37618,12321424,JE176587,03/21/2021 01:00:00 PM,010XX W OAKDALE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SIDEWALK,False,False,1933,19,44.0,6,11,1168775.0,1919756.0,2021,03/28/2021 04:57:44 PM,41.935335627,-87.655153142,"(41.935335627, -87.655153142)"
7769,31031,45156,12332657,JE190112,04/05/2021 12:45:00 PM,075XX N PAULINA ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,2422,24,49.0,1,08B,1163653.0,1950106.0,2021,04/12/2021 05:33:53 PM,42.01872679,-87.67311703,"(42.01872679, -87.67311703)"
7781,6108,9134,12273364,JE117248,01/19/2021 03:30:00 PM,011XX W WILSON AVE,0460,BATTERY,SIMPLE,CTA STATION,False,False,1913,19,46.0,3,08B,1167916.0,1930703.0,2021,01/26/2021 03:51:22 PM,41.965393249,-87.65799298399999,"(41.965393249, -87.657992984)"
7786,18251,26402,12302988,JE154239,02/27/2021 04:09:00 PM,002XX W 87TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,634,6,21.0,44,04B,1176454.0,1847227.0,2021,03/06/2021 03:50:24 PM,41.73614018,-87.62911796,"(41.73614018, -87.62911796)"
7795,13181,19154,12290621,JE137865,02/10/2021 12:55:00 PM,001XX N MASON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1512,15,29.0,25,08B,1136747.0,1900498.0,2021,02/19/2021 03:45:56 PM,41.883124266,-87.773320938,"(41.883124266, -87.773320938)"
7801,25405,36917,12318591,JE172961,03/19/2021 12:02:00 AM,017XX E 73RD PL,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,324,3,8.0,43,04B,1189245.0,1856593.0,2021,03/26/2021 05:00:56 PM,41.76154459,-87.58195718799999,"(41.76154459, -87.581957188)"
7816,7944,11778,12278626,JE123390,01/25/2021 10:30:00 PM,066XX S HONORE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,False,True,726,7,15.0,67,04A,1165156.0,1860657.0,2021,02/01/2021 03:48:35 PM,41.773240232,-87.670130607,"(41.773240232, -87.670130607)"
7825,17081,24752,12300249,JE150857,02/24/2021 12:20:00 PM,035XX S RHODES AVE,0820,THEFT,$500 AND UNDER,STREET,False,True,212,2,4.0,35,06,1180162.0,1881716.0,2021,03/03/2021 03:47:36 PM,41.830697249,-87.61447689100001,"(41.830697249, -87.614476891)"
7853,7971,11820,12278173,JE122840,01/25/2021 12:34:00 PM,017XX N SPRINGFIELD AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,2535,25,26.0,20,04A,1150113.0,1911201.0,2021,02/01/2021 03:48:35 PM,41.912244559,-87.723960599,"(41.912244559, -87.723960599)"
7858,5036,7521,12275181,JE119173,01/14/2021 12:00:00 PM,033XX W MAYPOLE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,1123,11,28.0,27,06,1154163.0,1900785.0,2021,01/23/2021 03:52:14 PM,41.883582151,-87.70936023799999,"(41.883582151, -87.709360238)"
7885,16648,24135,12299891,JE150454,02/23/2021 06:42:00 PM,011XX E 82ND PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,411,4,8.0,45,14,1185301.0,1850520.0,2021,03/02/2021 03:50:05 PM,41.744973301,-87.59660271899999,"(41.744973301, -87.596602719)"
7888,1767,2624,12262875,JE104460,01/05/2021 08:11:00 PM,055XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1522,15,29.0,25,08A,1139647.0,1898125.0,2021,01/16/2021 03:49:23 PM,41.876560022,-87.76272975200001,"(41.876560022, -87.762729752)"
7907,27967,40660,12325413,JE181166,03/27/2021 09:00:00 AM,001XX W 111TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,522,5,34.0,49,08B,1177334.0,1831018.0,2021,04/03/2021 05:04:00 PM,41.691640675,-87.626381549,"(41.691640675, -87.626381549)"
7915,31788,46270,12334438,JE192441,04/07/2021 01:47:00 PM,023XX W OGDEN AVE,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,1233,12,28.0,28,08A,1161029.0,1894432.0,2021,04/14/2021 05:57:55 PM,41.866009176,-87.68432409100001,"(41.866009176, -87.684324091)"
7923,1840,2749,12263812,JE106105,01/06/2021 12:01:00 AM,009XX S OAKLEY BLVD,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,False,False,1225,12,28.0,28,14,1161195.0,1895824.0,2021,01/16/2021 03:49:23 PM,41.869825511,-87.68367602,"(41.869825511, -87.68367602)"
7931,6916,10289,12280994,JE125334,01/12/2021 09:00:00 AM,031XX N SHERIDAN RD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1934,19,44.0,6,11,1173017.0,1921227.0,2021,02/02/2021 03:46:23 PM,41.939278966,-87.639519964,"(41.939278966, -87.639519964)"
7955,24034,34942,12315535,JE169248,03/15/2021 05:13:00 AM,015XX S CANAL ST,0460,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,124,1,11.0,28,08B,1173369.0,1892964.0,2021,03/22/2021 04:53:29 PM,41.861715945,-87.639066901,"(41.861715945, -87.639066901)"
7964,18043,26112,12302066,JE153225,02/26/2021 04:00:00 PM,027XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1411,14,32.0,22,06,1157241.0,1918050.0,2021,03/05/2021 03:49:32 PM,41.930896787,-87.697587655,"(41.930896787, -87.697587655)"
7996,23550,34227,12314874,JE168510,03/14/2021 06:00:00 AM,008XX N CICERO AVE,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,1111,11,37.0,25,06,1144207.0,1904963.0,2021,03/21/2021 04:49:58 PM,41.895239896,-87.745814792,"(41.895239896, -87.745814792)"
7997,25955,37714,12322204,JE177273,03/21/2021 12:00:00 AM,036XX N PIONEER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1631,16,38.0,17,14,1120753.0,1923270.0,2021,03/28/2021 04:57:44 PM,41.945885296,-87.83156393899999,"(41.945885296, -87.831563939)"
7998,950,1398,12263802,JE106184,01/05/2021 07:00:00 AM,010XX W ROSEMONT AVE,0810,THEFT,OVER $500,STREET,False,False,2433,24,48.0,77,06,1167922.0,1942003.0,2021,01/16/2021 03:49:23 PM,41.996400617,-87.65764317700001,"(41.996400617, -87.657643177)"
7999,29184,42454,12331675,JE189027,03/24/2021 07:30:00 AM,002XX E ERIE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,False,1834,18,42.0,8,14,1178083.0,1904831.0,2021,04/06/2021 05:00:41 PM,41.894173733,-87.621401474,"(41.894173733, -87.621401474)"
8008,19258,27912,12305404,JE157233,03/02/2021 03:17:00 PM,007XX S DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1225,12,28.0,28,14,1163159.0,1897058.0,2021,03/16/2021 04:50:22 PM,41.873170703,-87.676430937,"(41.873170703, -87.676430937)"
8010,13807,20067,12292080,JE140394,02/13/2021 03:22:00 AM,0000X W 69TH ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,False,False,731,7,6.0,69,04A,1177279.0,1859276.0,2021,02/20/2021 03:50:23 PM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
8021,27196,39519,12323401,JE178753,03/24/2021 07:05:00 PM,0000X W 95TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,511,5,21.0,49,08B,1177703.0,1841947.0,2021,03/31/2021 04:59:47 PM,41.721623049,-87.62470134200001,"(41.721623049, -87.624701342)"
8025,28236,41067,12326745,JE181972,03/28/2021 03:00:00 AM,036XX W DOUGLAS BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,1011,10,24.0,29,06,1152142.0,1893044.0,2021,04/04/2021 05:01:16 PM,41.862380079,-87.716985672,"(41.862380079, -87.716985672)"
8046,11587,16829,12287575,JE133965,02/05/2021 05:20:00 PM,001XX N RACINE AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,False,False,1224,12,27.0,28,06,1168504.0,1900896.0,2021,02/12/2021 03:49:04 PM,41.883588537,-87.656695843,"(41.883588537, -87.656695843)"
8057,21399,31056,12309727,JE162331,03/08/2021 12:34:00 AM,035XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,212,2,4.0,35,08B,1180162.0,1881716.0,2021,03/15/2021 04:48:08 PM,41.830697249,-87.61447689100001,"(41.830697249, -87.614476891)"
8058,18560,26828,12302712,JE153854,02/27/2021 09:55:00 AM,063XX N TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2413,24,50.0,2,08B,1154210.0,1941830.0,2021,03/06/2021 03:50:24 PM,41.996211719,-87.708088331,"(41.996211719, -87.708088331)"
8061,940,1380,12261462,JE103505,01/04/2021 05:00:00 PM,022XX N GENEVA TER,0820,THEFT,$500 AND UNDER,STREET,False,False,1812,18,43.0,7,06,1171900.0,1915092.0,2021,01/16/2021 03:49:23 PM,41.922469,-87.643806544,"(41.922469, -87.643806544)"
8072,17521,25388,12305478,JE156892,02/17/2021 12:00:00 AM,063XX N IONIA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1621,16,39.0,12,11,1142326.0,1941956.0,2021,03/04/2021 03:49:38 PM,41.996787258000005,-87.751801515,"(41.996787258, -87.751801515)"
8089,26359,38309,12321819,JE176914,03/22/2021 12:25:00 AM,079XX S TRUMBULL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,True,834,8,18.0,70,08B,1154765.0,1851636.0,2021,03/29/2021 04:53:03 PM,41.748698745,-87.70846205299999,"(41.748698745, -87.708462053)"
8093,24372,35428,12319192,JE173555,03/09/2021 09:00:00 AM,097XX S LEAVITT ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2213,22,19.0,72,11,1163416.0,1839989.0,2021,03/23/2021 05:00:56 PM,41.716560782,-87.67708686,"(41.716560782, -87.67708686)"
8107,16588,24035,12301869,JE152817,01/28/2021 09:00:00 AM,115XX S ABERDEEN ST,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,RESIDENCE,False,False,524,5,34.0,53,11,1171062.0,1828309.0,2021,03/02/2021 03:47:53 PM,41.684345701,-87.649422793,"(41.684345701, -87.649422793)"
8122,21547,31282,12310022,JE162540,03/08/2021 09:25:00 AM,076XX S EAST END AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,414,4,8.0,43,14,1188861.0,1854656.0,2021,03/15/2021 04:48:08 PM,41.756238487,-87.58342644700001,"(41.756238487, -87.583426447)"
8128,2097,3139,12260714,JE102596,01/04/2021 12:45:00 AM,016XX W HARRISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,HOSPITAL BUILDING / GROUNDS,False,False,1231,12,27.0,28,14,1165491.0,1897444.0,2021,01/16/2021 03:49:23 PM,41.874180626,-87.66785807,"(41.874180626, -87.66785807)"
8134,22573,32837,12316829,JE170367,01/27/2021 06:14:00 PM,018XX W LARCHMONT AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,1922,19,47.0,5,06,1163326.0,1926250.0,2021,03/18/2021 04:49:55 PM,41.953272046,-87.67499512200001,"(41.953272046, -87.674995122)"
8138,20165,29207,12307219,JE159226,03/04/2021 04:41:00 PM,002XX E HURON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING / GROUNDS,True,True,1834,18,42.0,8,08B,1178046.0,1905133.0,2021,03/11/2021 03:47:23 PM,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
8145,2133,3191,12263524,JE105768,01/07/2021 01:00:00 AM,113XX S CHURCH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2212,22,19.0,75,08B,1166182.0,1829675.0,2021,01/16/2021 03:49:23 PM,41.688199161,-87.66724841799999,"(41.688199161, -87.667248418)"
8146,19341,28029,12305237,JE156845,03/02/2021 12:29:00 PM,133XX S CARONDOLET AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,433,4,10.0,55,08B,1198440.0,1817101.0,2021,03/09/2021 03:54:03 PM,41.65294961,-87.54957473299999,"(41.65294961, -87.549574733)"
8157,16210,23503,12298444,JE148241,02/21/2021 07:30:00 PM,003XX N UNION AVE,0810,THEFT,OVER $500,STREET,False,False,1214,12,42.0,28,06,1171464.0,1902633.0,2021,02/28/2021 03:48:02 PM,41.888290421,-87.645775455,"(41.888290421, -87.645775455)"
8158,7560,11203,12280565,JE121205,01/23/2021 03:05:00 PM,064XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,725,7,16.0,67,08B,1167441.0,1862062.0,2021,01/30/2021 03:51:02 PM,41.777047072,-87.661714109,"(41.777047072, -87.661714109)"
8164,15248,22144,12295479,JE144675,02/18/2021 10:25:00 AM,054XX S ASHLAND AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,OTHER (SPECIFY),False,False,932,9,16.0,61,04A,1166601.0,1868548.0,2021,02/25/2021 03:51:59 PM,41.79486342,-87.664608602,"(41.79486342, -87.664608602)"
8172,614,905,12262984,JE105368,01/06/2021 06:30:00 PM,048XX S WOLCOTT AVE,1185,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,APARTMENT,False,False,931,9,15.0,61,11,1164501.0,1872623.0,2021,01/16/2021 03:49:23 PM,41.806090282,-87.672194371,"(41.806090282, -87.672194371)"
8175,1617,2401,12264342,JE105983,01/07/2021 01:30:00 PM,012XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1231,12,28.0,28,14,1168342.0,1894844.0,2021,01/16/2021 03:49:23 PM,41.866984888000005,-87.657465713,"(41.866984888, -87.657465713)"
